Emerson Hart
Chris Hawkes
Mayer Hawthorne
Hayedeh
Rob Hegel
Bobby Helms
Logan Henderson
Aretha Henry
Kristin Hersh
Jillian Hervey
Taylor Hicks
Bertie Higgins
Lauren Hildebrandt
Brenn Hill
Tyler Hilton
Don Ho
Hulk Hogan
Ron Holden
Earl Holliman
Nancy Holloway
David Homyk
Joseph Lee Hooker
Nikki Hornsby
Dale Houston
Brad Howell
Howie D.
Neilson Hubbard
Glenn Hughes (Village People)
William Hung
Brian Hyland
Suzee Ikeda
Inas X
Frank Infante
David Ippolito
Julienne Irwin
Ronald Isley
Miss Issa
Bobby J
Frankie J
Alex Jacke
Jackie Jackson
Jermaine Jackson
Jordyn Jackson
La Toya Jackson
Marlon Jackson
Michael Jackson
Randy Jackson (The Jacksons)
Rebbie Jackson
Tito Jackson
Colton Jacobson
Aiden James
Bryton James
Jessie James Decker
Mark Janicello
Laura Jansen
Jasmine (American singer)
Jaz (musician)
BC Jean
David Jenkins (musician)
Kris Jensen
Jewel (singer)
JMSN
Alexa Ray Joel
Billy Joel
Mable John
Aria Johnson
Betty Johnson
Lou Johnson (singer)
Johnnie Johnston
Bob Johnstone (singer)
Jude Johnstone
JoJo (singer)
Jon B.
Coco Jones
Jack Jones (singer)
Jimmy Jones (singer)
Kaya Jones
Randy Jones (singer)
Tamiko Jones
Jonnie and Brookie
Jessi Jae Joplin
Adam Joseph
Joya (singer)
Jeanette Jurado
Ernie K-Doe
Youceff Kabal (musician)
Joshua Kadison
Kamuela Kahoano
Kalomira
Karen Kamon
Kat Solar
Leah Kauffman
Mat Kearney
Howard Keel
Tynisha Keli
Keller Sisters and Lynch
Paula Kelley
Bridget Kelly
Sarah Kelly
Tara Kemp
Kesha
Naia Kete
Sam Kim
Bobby Kimball
Cheyenne Kimball
Kina (musician)
Ben E. King
Solomon King
Sean Kingston
Fern Kinney
Chris Kirkpatrick
Donnie Klang
Dana Kletter
Frederick Knight (singer)
Jonathan Knight
Jordan Knight
Levi Kreis
Amy Kuney
Sierra Kay
Jennie Kwan
Sharon Kwan
L2 (music group)
Drew Lachey
Nick Lachey
Lachi (artist)
Cheryl Ladd
Lady Starlight
Lalaine
Adam Lambert
Alex Lambert
Michelle Lambert
George Lamond
Alice Wonder Land
Liz Lands
Valerie Landsburg
Lana Lane
Stefano Langone
Snooky Lanson
Angela Lanza (singer)
Brian Larsen
Brie Larson
Blair Late
Mandy Lauderdale
Ana Laura
Joey Lawrence
Vicki Lawrence
Lillian Leach
Pearl Reaves
Tim Leberecht
Fred LeBlanc
Steph Lecor
Lee Soo-jung
St. Clair Lee
Marshall Leib
Paul Lekakis
Tony LeMans
Peter Lemongello
Don Lennon
Robert A. Leonard
Cory Lerios
Ryan Leslie
Josh Levi (singer)
Adam Levine
Huey Lewis
Jerry Lee Lewis
Jon Peter Lewis
Ted Lewis (musician)
Eli Lieb
Amber Lily
Lina (American singer)
Eric Lindell
Kathy Linden
Jon Lindsay (musician)
Peggy Lipton
Brian Littrell
Lobo (musician)
Kimberley Locke
Lisa Loeb
Andrew Logan (songwriter)
John Lombardo
Julie London
Trini Lopez
Darlene Love
LeToya Luckett
Gregori Lukas
Dr. Luke
Robin Luke
Luxxury
Cheryl Lynn
Imogene Lynn
Lena Machado
Andy (singer)
Lauriana Mae
Maejor
Russell Mael
Austin Mahone
Gilda Maiken
Maluca Mala
Cha Cha Malone
Ramiele Malubay
Mark Mangold
Bob Manning (pop singer)
Taryn Manning
Mapei (musician)
Stephan Marcellus
Benny Mardones
Bruno Mars
Marilyn Marshall (singer)
Quinn Marston
Marteen
Dean Paul Martin
Erin Martin
Janis Martin
Tony Martin (American singer)
Vicci Martinez
James Maslow
Louise Massey
Carlo Mastrangelo
Lisa Matassa
Mathai (singer)
Johnny Mathis
Eli Mattson
Nathan Max
Jim Mayer (musician)
John Mayer
Matt McAndrew
Jesse McCartney
Jennette McCurdy
Jonny McGovern
Kevin McHale (actor)
AJ McLean
Clyde McPhatter
Hank Medress
Meiko (American singer)
Lisette Melendez
Ricky Meléndez
James Melton
Javier Mendoza
Natalie Merchant
Stephin Merritt
Jeremy Messersmith
Rod Michael
Yvette Michele
Mikaila
Gavin Mikhail
Milan the Leather Boy
Fred Milano
Sam Milby
David Miller (tenor)
Mrs. Miller
Scott Miller (pop musician)
Tor Miller
Leslie Mills
Patti Miner
MioSoty
Marissa Mishelle
Tonya Mitchell
Irene Molloy
Patrick Monahan
Monica (singer)
Heidi Montag
KC Montero
Abra Moore
Dorothy Moore
Mandy Moore
Cindy Morgan (singer)
Debelah Morgan
Jaye P. Morgan
Matt Morris (musician)
Joshua Morrow
Wendy Moten
Mark Mothersbaugh
Billy Murray (singer)
Mason Musso
Mitchel Musso
Nakjoon
Eric Nam
Johnny Nash
Leigh Nash
Naturi Naughton
Nayer
Nayobe
Ricky Nelson
Frances Nero
Michael Nesmith
Kat Nestel
Ivan Neville
Juice Newton
Nguy?n Cao K? Duyên
Cardin Nguyen
Nichkhun
Mallori Nicole
Niia
Harry Nilsson
Nick Noble (singer)
Noël (singer)
Nichole Nordeman
Nordstrom Sisters
Dagmar Nordstrom
Siggie Nordstrom
Jack Norworth
Terri Nunn
Nyasia
Will Oakland
Olivia O'Brien
Colby O'Donis
David Oh (musician)
Braxton Olita
Omarion
Tony Orlando
Jeannie Ortega
Joan Osborne
Emily Osment
Alan Osmond
Donny Osmond
Jimmy Osmond
Marie Osmond
Merrill Osmond
Wayne Osmond
Savannah Outen
Nancy Overton
Faith Page
Patti Page
David Paich
Jennifer Paige
Kevin Paige
Jeff Palmer
Suzanne Palmer
Doe Paoro
Twila Paris
Jay Park
John Park (musician)
Kat Parsons
Hope Partlow
Tanner Patrick
Carly Patterson
Billy Paul
Charlie Peacock
Joey Pearson
Fernando Perdomo
Jacob Perez
Katy Perry
Paul Petersen
Ray Peterson
Dee Dee Phelps
Phil Campos
Chynna Phillips
John Phillips (musician)
Mackenzie Phillips
Michelle Phillips
Sam Phillips (musician)
Jim Photoglo
Jamie Pineda
Gene Pitney
William Pitt (singer)
Rachel Platten
The Ponce Sisters
Lolly Pop
Ron Pope
Sandy Posey
Mike Posner
Peter Pou
Joey Powers
Andy Pratt (singer-songwriter)
Billy Preston
Johnny Preston
Tristan Prettyman
Jonathan Pretus
Kirsten Price (musician)
Jordan Pruitt
Charlie Puth
Quincy (actor)
Wesley Quinn
Fizzy Qwick
R.LUM.R
Rachel Borovik
Gabbie Rae
Marvin Rainwater
David Raleigh
Larry Ramos
